id,nome,quantidade_questoes,status
181,Engenharia Mecânica,17553,OK
182,Pedagogia,141916,OK
183,Terapia Ocupacional,10459,OK
184,Engenharia de Telecomunicações,2145,OK
185,Fisioterapia,24530,OK
186,Nutrição,34559,OK
187,Atendimento ao Público,6352,OK
188,Serviço Social,46021,OK
189,Psiquiatria,11432,OK
190,,0,NAO_ENCONTRADO
191,Economia,17574,OK
192,,0,NAO_ENCONTRADO
193,,0,NAO_ENCONTRADO
194,,0,NAO_ENCONTRADO
195,,0,NAO_ENCONTRADO
196,,0,NAO_ENCONTRADO
197,Cultura Geral,2657288,OK
198,Física,11109,OK
199,Noções de Primeiros Socorros,4528,OK
200,Legislação de Trânsito,19221,OK
201,,0,NAO_ENCONTRADO
202,,0,NAO_ENCONTRADO
203,Direito Penal Militar,245,OK
204,Direito Processual Penal Militar,265,OK
205,Oceanografia Geológica,475,OK
206,Jornalismo,10032,OK
207,Segurança e Transporte,6006,OK
208,Química,18666,OK
209,"História Econômica, Administrativa e Política de São Paulo",2657288,OK
210,,0,NAO_ENCONTRADO
211,Direito Sanitário,15752,OK
212,,0,NAO_ENCONTRADO
213,Administração de Recursos Materiais,10882,OK
214,Direitos Humanos,4772,OK
215,,0,NAO_ENCONTRADO
216,Filosofia do Direito,396,OK
217,,0,NAO_ENCONTRADO
218,,0,NAO_ENCONTRADO
219,,0,NAO_ENCONTRADO
220,,0,NAO_ENCONTRADO
221,,0,NAO_ENCONTRADO
222,Legislação de Seguros,192,OK
223,,0,NAO_ENCONTRADO
224,,0,NAO_ENCONTRADO
225,Auditoria de Obras Públicas,1465,OK
226,Matemática Atuarial,193,OK
227,,0,NAO_ENCONTRADO
228,,0,NAO_ENCONTRADO
229,Marketing,2323,OK
230,,0,NAO_ENCONTRADO
231,,0,NAO_ENCONTRADO
232,Direito Agrário,691,OK
233,Direito da Criança e do Adolescente - Estatuto da Criança e do Adolescente (ECA) - Lei nº 8.069 de 1990,11457,OK
234,,0,NAO_ENCONTRADO
235,Análise de Balanços,3692,OK
236,,0,NAO_ENCONTRADO
237,,0,NAO_ENCONTRADO
238,Sistemas de Informação,1267,OK
239,Veterinária,20034,OK
240,,0,NAO_ENCONTRADO
241,,0,NAO_ENCONTRADO
242,,0,NAO_ENCONTRADO
243,,0,NAO_ENCONTRADO
244,Biologia,23477,OK
245,Atuária,640,OK
246,Legislação da Defensoria Pública,905,OK
247,,0,NAO_ENCONTRADO
248,,0,NAO_ENCONTRADO
249,,0,NAO_ENCONTRADO
250,Legislação da AGU,76,OK
251,,0,NAO_ENCONTRADO
252,Sociologia,6945,OK
253,Ciência Política,860,OK
254,,0,NAO_ENCONTRADO
255,Engenharia Agrícola,1120,OK
256,Engenharia Agronômica (Agronomia),16142,OK
257,,0,NAO_ENCONTRADO
258,Engenharia Florestal,2702,OK
259,Engenharia Ambiental e Sanitária,15684,OK
260,Engenharia Química e Química Industrial,3309,OK
261,,0,NAO_ENCONTRADO
262,Farmácia,30410,OK
263,Fonoaudiologia,16876,OK
264,,0,NAO_ENCONTRADO
265,Relações Públicas,3883,OK
266,Engenharia de Pesca,935,OK
267,,0,NAO_ENCONTRADO
268,,0,NAO_ENCONTRADO
269,Engenharia Naval,1405,OK
270,,0,NAO_ENCONTRADO
271,,0,NAO_ENCONTRADO
272,Arqueologia,513,OK
273,Antropologia,1084,OK
274,Engenharia de Produção,2877,OK
275,Engenharia Eletrônica,4268,OK
276,Legislação do Ministério Público,2437,OK
277,Organização da Justiça Militar da União,2657288,OK
278,,0,NAO_ENCONTRADO
279,,0,NAO_ENCONTRADO
280,,0,NAO_ENCONTRADO
281,Agrimensura,1133,OK
282,,0,NAO_ENCONTRADO
283,Artes Cênicas,2556,OK
284,,0,NAO_ENCONTRADO
285,,0,NAO_ENCONTRADO
286,,0,NAO_ENCONTRADO
287,,0,NAO_ENCONTRADO
288,,0,NAO_ENCONTRADO
289,,0,NAO_ENCONTRADO
290,,0,NAO_ENCONTRADO
291,,0,NAO_ENCONTRADO
292,,0,NAO_ENCONTRADO
293,Ciência e Tecnologia,111,OK
294,,0,NAO_ENCONTRADO
295,,0,NAO_ENCONTRADO
296,,0,NAO_ENCONTRADO
297,,0,NAO_ENCONTRADO
298,,0,NAO_ENCONTRADO
299,Biomedicina - Análises Clínicas,9520,OK
300,,0,NAO_ENCONTRADO
301,Artes Plásticas,1863,OK
302,Artes Visuais,3867,OK
303,,0,NAO_ENCONTRADO
304,,0,NAO_ENCONTRADO
305,Automação,47,OK
306,,0,NAO_ENCONTRADO
307,,0,NAO_ENCONTRADO
308,,0,NAO_ENCONTRADO
309,,0,NAO_ENCONTRADO
310,,0,NAO_ENCONTRADO
311,,0,NAO_ENCONTRADO
312,,0,NAO_ENCONTRADO
313,,0,NAO_ENCONTRADO
314,,0,NAO_ENCONTRADO
315,,0,NAO_ENCONTRADO
316,,0,NAO_ENCONTRADO
317,Desenho Técnico,25,OK
318,Desenho Industrial,722,OK
319,,0,NAO_ENCONTRADO
320,,0,NAO_ENCONTRADO
